id,lastname,firstname,first_g,last_g
wolcq901,Wolcott,Quinn,20130527,20240908
wolfj901,Wolf,Jim,19990902,20241012
woodt901,Woodring,Tom,20140416,20200917
wrigm901,Wright,Marvin,19950426,19950502
wrigu902,Wright,,19400512,19400512
yeasd901,Yeast,Dave,19950426,19950502
yokel101,Yokely,Laymon,19470722,19470722
younc102,Young,Cy,19030704,19030708
youni101,Young,Irv,19050805,19070811
younl901,Young,Larry,19830623,20070722
younr901,Young,Roy,19360823,19580824
youns901,Young,S.,19470604,19470604
yount901,Young,T.J.,19430613,19430926
younu901,Young,,19280729,19350929
youru901,Yourko,Andrew,19420525,19430725
zealu901,Zealmon,,19490602,19490602
zimmc101,Zimmer,Chief,19010521,19041009
zimmj101,Zimmerman,Jerry,19780825,19780825
zirbl901,Zirbel,Larry,19790405,19841002
zivid901,Zivic,Dick,19841005,19841005
zompc101,Zomphier,Charles,19410704,19460709
zoshu901,Zosh,,19490530,19490607
zuccr901,Zuccaro,Rico,19780825,19780825
